2025-10-26 14:19:32,515 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:19:32,515 | INFO | rag_app | Starting RAG app. rebuild=False llm=True
2025-10-26 14:19:32,517 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:19:32,517 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:19:32,518 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:19:32,518 | INFO | rag_app | build_index called with rebuild=False (reusing existing index).
2025-10-26 14:19:46,168 | INFO | rag_app | User question: 'who is geethika and what is rleg' (use_llm=True)
2025-10-26 14:19:46,171 | INFO | rag_app | ask() called. question='who is geethika and what is rleg' top_k=12 use_llm=True
2025-10-26 14:19:46,171 | DEBUG | rag_app | Topic flags: want_rleg=True want_dino=False
2025-10-26 14:19:52,486 | DEBUG | rag_app | generic retrieval returned 12 hits
2025-10-26 14:19:52,550 | DEBUG | rag_app | RLEG retrieval returned 12 hits
2025-10-26 14:19:52,550 | DEBUG | rag_app | Deduped hits: 24 -> 19
2025-10-26 14:19:58,404 | INFO | rag_app | Generated answer length=228 chars
2025-10-26 14:19:58,433 | INFO | rag_app | Answer preview: '- Geethika is a contact person with a phone number for Aeon at Mahindra University, also described as a "very good girl."\n- RLEG is a vision-language representation learning method that uses diffusion'
2025-10-26 14:19:58,434 | DEBUG | rag_app | Returned 19 context chunks
2025-10-26 14:24:20,854 | INFO | rag_app | Session ended by user.
2025-10-26 14:24:20,863 | DEBUG | rag_app | Closing RAGPipeline and VectorStore.
2025-10-26 14:24:20,869 | INFO | rag_app | RAG app shutdown complete.
2025-10-26 14:25:07,668 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:25:07,670 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:25:07,670 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:25:07,670 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:26:34,225 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:26:34,226 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:26:34,226 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:26:34,226 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:26:54,516 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:26:54,518 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:26:54,518 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:26:54,518 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:27:07,270 | INFO | rag_app | Uploaded 1 new files: ['2508.10104v1.pdf']
2025-10-26 14:27:07,294 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:10,668 | INFO | rag_app | Loaded 8 documents from data
2025-10-26 14:27:10,670 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:11,531 | INFO | rag_app | Uploaded 2 new files: ['2508.10104v1.pdf', '2503.19108v1 (1).pdf']
2025-10-26 14:27:11,533 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:14,917 | INFO | rag_app | Loaded 8 documents from data
2025-10-26 14:27:14,919 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:25,498 | INFO | rag_app | Uploaded 3 new files: ['2508.10104v1.pdf', '2503.19108v1 (1).pdf', 'Job description - 6 months internship (technology Hiring) (2).docx']
2025-10-26 14:27:25,522 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:29,538 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:27:29,542 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:30,629 | INFO | rag_app | VectorStore built and persisted successfully.
2025-10-26 14:27:33,644 | INFO | rag_app | Uploaded 2 new files: ['2508.10104v1.pdf', '2503.19108v1 (1).pdf']
2025-10-26 14:27:33,645 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:34,476 | INFO | rag_app | Uploaded 1 new files: ['2508.10104v1.pdf']
2025-10-26 14:27:34,493 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:39,504 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:27:39,506 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:40,215 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:27:40,218 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:43,009 | INFO | rag_app | Uploaded 1 new files: ['2112.01527v3.pdf']
2025-10-26 14:27:43,019 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:27:46,858 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:27:46,861 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:27:52,426 | INFO | rag_app | VectorStore built and persisted successfully.
2025-10-26 14:33:50,006 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:33:50,007 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:33:50,007 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:33:50,007 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:33:55,626 | INFO | rag_app | Uploaded 2 new files: ['2112.01527v3.pdf', '2503.19108v1 (1).pdf']
2025-10-26 14:33:55,629 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:33:58,929 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:33:58,931 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:34:16,941 | INFO | rag_app | VectorStore built and persisted successfully.
2025-10-26 14:34:31,670 | INFO | rag_app | Uploaded 2 new files: ['2112.01527v3.pdf', '2503.19108v1 (1).pdf']
2025-10-26 14:34:31,673 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:34:34,844 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:34:34,846 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:34:34,898 | INFO | rag_app | Uploaded 2 new files: ['2112.01527v3.pdf', '2503.19108v1 (1).pdf']
2025-10-26 14:34:34,899 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:34:38,682 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:34:38,685 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:34:47,886 | INFO | rag_app | VectorStore built and persisted successfully.
2025-10-26 14:36:43,029 | DEBUG | rag_app | Logger initialized. APP_LOG_PATH=logs/app.log ERR_LOG_PATH=logs/error.log
2025-10-26 14:36:43,030 | DEBUG | rag_app | Initializing RAGPipeline with settings: {'data_dir': PosixPath('data'), 'sqlite_path': PosixPath('storage/chunks.db'), 'faiss_index_path': PosixPath('storage/index.faiss'), 'id_map_path': PosixPath('storage/chunk_ids.npy'), 'embedding_model_name': 'sentence-transformers/all-MiniLM-L6-v2', 'chunk_size': 800, 'chunk_overlap': 200, 'default_top_k': 12}
2025-10-26 14:36:43,030 | DEBUG | rag_app | Embedder initialized with model: sentence-transformers/all-MiniLM-L6-v2
2025-10-26 14:36:43,030 | DEBUG | rag_app | VectorStore initialized. sqlite=storage/chunks.db faiss=storage/index.faiss idmap=storage/chunk_ids.npy
2025-10-26 14:36:48,316 | INFO | rag_app | Uploaded 4 new files: ['2112.01527v3.pdf', '2503.19108v1 (1).pdf', '2508.10104v1.pdf', 'Aeon Sponsorship Brochure (2).pdf']
2025-10-26 14:36:48,322 | INFO | rag_app | Rebuilding index from data/: data
2025-10-26 14:36:51,868 | INFO | rag_app | Loaded 9 documents from data
2025-10-26 14:36:51,871 | INFO | rag_app | Chunked into 873 chunks (size=800 overlap=200)
2025-10-26 14:37:07,608 | INFO | rag_app | VectorStore built and persisted successfully.
